De Didier Fontaine






287	miséricorde	οἰκτιρμός
287b	compassion	ἔλεος

288	miséricordieux	οἰκτίρμων
288b	compatissant	ἐλεήμων

289	anéantir	ὀλοθρεύω
289b	exterminer	ἐξολοθρεύω

290	comparer	ὁμοιόω
290b	être semblable	ἔοικα

291	injurier	ὀνειδίζω
291b	reprocher	μωμάομαι

292	injure	ὀνειδισμός
292b	reproche	μομφή

293	antre	ὀπή
293b	ouverture	ἄνοιξις

294	en arrière	ὀπίσω
294b	derrière	ὄπισθεν

295	apparaître	ὀπτάνομαι
295b	montrer	ἐμφανίζω

296	vision	ὅραμα
296b	apparition	ὀπτασία

297	vision	ὅρασις
297b	apparition	ὅραμα

298	aspirer à	ὀρέγω
298b	tendre	ἁπαλός

299	droit	ὀρθός
299b	direct	εὐθύς

300	aube	ὄρθρος
300b	éclat du jour	αὐγή

301	argileux	ὀστράκινος
301b	de terre cuite	κεραμικός

302	quand	ὅταν
302b	chaque fois que	ἡνίκα

303	lorsque	ὅτε
303b	quand	ὅταν

304	où	οὗ
304b	là où	ὅπου

305	nullement	οὐδαμῶς
305b	aucunement	μηδαμῶς

306	jamais	οὐδέποτε
306b	jamais	μηδέποτε

307	pas encore	οὐδέπω
307b	pas encore	μήπω

308	donc	οὖν
308b	c'est pourquoi	διόπερ

309	pas encore	οὔπω
309b	pas encore	οὐδέπω

310	celui-ci	οὗτος
310b	celui-ci	ὅδε

311	dette	ὀφείλημα
311b	dû	ὀφειλή

312	troubler	ὀχλέω
312b	malmener	θορυβέω

313	petit poisson	ὀψάριον
313b	poisson	ἰχθύς

314	aspect	ὄψις
314b	vue	βλέμμα

315	solde	ὀψώνιον
315b	salaire	μισθός


317	enfant	παιδίον
317b	petit enfant	παιδάριον

318	jeune servant	παῖς
318b	jeune servante	παιδίσκη

319	battre	παίω
319b	frapper	κρούω

320	ancien	παλαιός
320b	antique	ἀρχαῖος

321	vieillir	παλαιόω
321b	devenir vieux	γηράσκω

322	de nouveau	πάλιν
322b	encore	ἔτι

323	en tout temps	πάντοτε
323b	toujours	ἀεί

324	exhorter	παραμυθέομαι
324b	avertir	παραινέω

325	réconfort	παραμύθιον
325b	exhortation	παραμυθία

326	transgression	παρανομία
326b	illégalité	ἀνομία

327	préparer	παρασκευάζω
327b	préparer	ἑτοιμάζω

328	préparation	παρασκευή
328b	disponibilité	ἑτοιμασία

329	immédiatement	παραχρῆμα
329b	aussitôt	εὐθέως

330	passer à côté	παρέρχομαι
330b	passer	παραπορεύομαι

331	exhortation	παρηγορία
331b	réconfort	παραμύθιον

332	plat	πεδινός
332b	assiette	παροψίς

333	éprouver	πειράω
333b	tenter	πειράζω

334	de l'autre côté	πέραν
334b	au delà	ἐπέκεινα

335	autour	περί
335b	tout autour	κυκλόθεν

336	surabondance	περισσεία
336b	abondance	ἁδρότης

337	se vanter	περπερεύομαι
337b	vanter	καυχάομαι

338	voler	πέτομαι
338b	dérober	κλέπτω

339	de pierre	πετρώδης
339b	pierreux	λίθινος

340	combien grand	πηλίκος
340b	autant que	ὅσος

341	saisir	πιάζω
341b	prendre	ἐπιλαμβάνομαι

342	comprimer	πιέζω
342b	tourmenter	θλίβω

343	enflammer	πίμπρημι
343b	brûler	καυματίζω

344	rendre confiant	πιστόω
344b	croire	πιστεύω

345	tromper	πλανάω
345b	errer	ἀστατέω

346	façonner	πλάσσω
346b	former	μορφόω

347	très grand	πλεῖστος
347b	plus grand	μείζων

348	abonder	πλεονάζω
348b	surabonder	περισσεύω

349	être supérieur	πλεονεκτέω
349b	être utile	λυσιτελέω

350	remplir	πλήθω
350b	remplir	μεστόω

351	toutefois	πλήν
351b	sûrement	 πάντως

352	rempli	πλήρης
352b	plein	μεστός

353	remplir	πληρόω
353b	remplir	πλήθω

354	prochain	πλησίον
354b	proche	ἐγγύς

355	frapper	πλήσσω
355b	battre	παίω

356	barque	πλοῖον
356b	navire	ναῦς

357	laver	πλύνω
357b	laver	νίπτω

358	étrangler	πνίγω
358b	étouffer	ἀπάγχω

359	souffle	πνοή
359b	esprit	πνεῦμα

360	de quel lieu	πόθεν
360b	d'où	ὅθεν

361	troupeau	ποίμνη
361b	troupeau	ἀγέλη

362	troupeau	ποίμνιον
362b	troupeau	ποίμνη

363	méchant	πονηρός
363b	mauvais	κακός

364	peine	πόνος
364b	labeur	μόχθος

365	de pourpre	πορφυροῦς
365b	pourpre	πορφύρα

366	boisson	πόσις
366b	boire	πίνω

367	combien	πόσος
367b	combien grand	πηλίκος

368	quand	πότε
368b	lorsque	ὅτε

369	où	ποῦ
369b	là où	οὗ

370	action	πρᾶξις
370b	oeuvre	ἔργον

371	doux	πραΰς
371b	bienveillant	ἤπιος

372	convenir	πρέπω
372b	arriver	καθήκω

373	ambassade	πρεσβεία
373b	ancienneté	παλαιότης

374	plus ancien	πρεσβύτερος
374b	ancien	παλαιός

375	ancien	πρεσβύτης
375b	vieillard	γέρων

376	devant	πρό
376b	avant	πρίν

377	mendier	προσαιτέω
377b	mendier	ἐπαιτέω

378	patienter	προσδοκάω
378b	attendre	ἐκδέχομαι

379	attente	προσδοκία
379b	attente	ἐκδοχή

380	s'approcher	προσέρχομαι
380b	approcher	ἐγγίζω


382	approcher	προσπορεύομαι
382b	s'approcher	προσέρχομαι

383	effrayer	πτύρω
383b	être craintif	δειλιάω

384	pauvre	πτωχός
384b	indigent	πενιχρός

385	bûcher	πυρά
385b	feu	πῦρ

386	combustion	πύρωσις
386b	brûlure	καῦμα

387	vendre	πωλέω
387b	vendre	πιπράσκω

388	petit d'animal	πῶλος
388b	ânon	ὀνάριον

389	pétrifier	πωρόω
389b	lapider	λιθάζω

390	comment	-πώς
390b	pour que	ὅπως

391	comment	πῶς
391b	comment	-πώς

392	déchirer	ῥήγνυμι
392b	briser	θραύω

393	impulsion	ῥιπή
393b	élan	ὁρμή

394	ruelle	ῥύμη
394b	rue	πήγανον

395	libérer	ῥύομαι
395b	délivrer	ἀπαλλάσσω

396	fortifier	ῥώννυμι
396b	renforcer	ἐπισχύω

397	de chair	σάρκινος
397b	charnel	σαρκικός

398	vénérer	σέβομαι
398b	honorer	σεβάζομαι

399	fortifier	σθενόω
399b	rendre fort	κραταιόω

400	bêcher	σκάπτω
400b	creuser	ὀρύσσω

401	tente	σκῆνος
401b	hutte	σκηνή

402	bondir	σκιρτάω
402b	sauter	ἅλλομαι

403	disséminer	σκορπίζω
403b	disperser	διασπείρω

404	ténèbre	σκότος
404b	obscurité	σκοτία

405	déchirer	σπαράσσω
405b	déchirer	rompre

406	tirer	σπάω
406b	entraîner	ἑλκύω

407	semence	σπορά
407b	germe	σπέρμα

408	germe	σπόρος
408b	semence	σπορά

409	s'empresser	σπουδάζω
409b	hâter	σπεύδω

410	plus à la hâte	σπουδαιότερος
410b	plus diligent	σπουδαιότερον

411	panier	σπυρίς
411b	corbeille	σαργάνη

412	resplendir	στίλβω
412b	briller	λάμπω

413	branche	στοιβάς
413b	palme	βαΐον

414	armée de soldats	στρατιά
414b	troupes	στράτευμα

415	étaler	στρωννύω
415b	étendre	κεῖμαι

416	sycomore	συκομωραία
416b	sycomore	συκάμινος

417	dépouiller	συλάω
417b	dépouiller	ἐκδύω

418	conseiller	σύμβουλος
418b	membre du conseil	βουλευτής

419	compatir	συμπαθέω
419b	avoir pitié	ἐλεέω

420	rassembler	συναθροίζω
420b	rassembler	ἐπισυνάγω

421	suivre	συνακολουθέω
421b	accompagner	ἐπακολουθέω

422	être avec	σύνεἶμι
422b	aller avec	συμπορεύομαι

423	accompagner	συνέπομαι
423b	suivre	συνακολουθέω

424	prendre plaisir à	συνήδομαι
424b	réjouir avec	συγχαίρω

425	aborder	συντυγχάνω
425b	rencontrer avec	συναντάω

426	traîner	σύρω
426b	tirer	σπάω

427	resserrer	συστέλλω
427b	rétrécir	στενοχωρέω

428	égorger	σφάζω
428b	tuer	θανατόω

429	fortement	σφοδρῶς
429b	extrêmement	λίαν

430	cordes	σχοινίον
430b	cordes	σειρά

431	amasser	σωρεύω
431b	entasser	ἐπισωρεύω

432	délivrance	σωτηρία
432b	libération	ἄφεσις

433	sépulture	ταφή
433b	enterrement	ἐνταφιασμός

434	rapidement	ταχέως
434b	peut-être	τάχα

435	prompt	ταχύ
435b	rapidement	ταχέως

436	vif	ταχύς
436b	rapide	ταχινός

437	parfait	τέλειος
437b	accompli	ἄρτιος

438	perfection	τελειότης
438b	redressement	κατάρτισις

439	achèvement	τελείωσις
439b	perfection	τελειότης

440	terme	τέλος
440b	fin	τελευτή

441	artisan	τεχνίτης
441b	artisan du bois	τέκτων

442	garder	τηρέω
442b	s'appliquer	προσέχω

443	observation	τήρησις
443b	surveillance	ἐπισκοπή

444	châtier	τιμωρέω
444b	punir	κολάζω

445	châtiment	τιμωρία
445b	punition	κόλασις

446	qui	τίς
446b	quel	ποῖος

447	mur	τοῖχος
447b	muraille	τεῖχος

448	alors	τότε
448b	donc	ἄρα

449	nourrir	τρέφω
449b	faire paître	βόσκω

450	grincer	τρίζω
450b	grincer des dents	βρύχω

451	trou	τρυμαλιά
451b	fosse	βόθυνος

452	croquer	τρώγω
452b	mordre	μασσάομαι

453	percuter	τύπτω
453b	frapper	πατάσσω



455	venir à la rencontre	ὑπαντάω
455b	aller à la rencontre	ἀπαντάω






459	élever au-dessus	ὑπερυψόω
459b	s'élever	ὑπεραίρω

460	soustraire	ὑποστέλλω
